zillow_code, zillow_code_column
IMP, inv_measure
IMSP, inv_measure_ssa
LPCSAL, list_price_cut_all_homes
MLPAH, med_list_price_all
MLPCC, med_list_price_condo
MLPCC, med_list_price_condo
MLPDT, med_list_price_duplex
MLP5B, med_list_price_5b
MLP4B, med_list_price_4b
MLP3B, med_list_price_3b
MLP2B, med_list_price_2b
MLP1B, med_list_price_1b
MLPSF, med_list_price_sing_fam
MLPFAH, med_list_price_sf_all
MLPFCC, med_list_price_sf_condo
MLPFDT, med_list_price_sf_duplex
MLPF5B, med_list_price_sf_5b
MLPF4B, med_list_price_sf_4b
MLPF3B, med_list_price_sf_3b
MLPF2B, med_list_price_sf_2b
MLPF1B, med_list_price_sf_1b
MLPFSF, med_list_price_sf_sing_fam
MPCDAH, med_price_cut_all
MPCDCO, med_price_cut_condo
MPCDSF, med_price_cut_sing_fam
MPPRAH, med_price_of_red_all
MPPRCO, med_price_of_red_condo
MPPRSF, med_price_of_red_sing_fam
MRPAH, med_rent_price_all
MRPCC, med_rent_price_condo
MRPDT, med_rent_price_duplex
MR51B, med_rent_price_5b
MRP4B, med_rent_price_4b
MRP3B, med_rent_price_3b
MRP2B, med_rent_price_2b
MRP1B, med_rent_price_1b
MRPST, med_rent_price_studio
MRPMF, med_rent_price_mult_fam
MRPSF, med_rent_price_sign_fam
MRPFAH, med_rent_price_sf_all
MRPFCC, med_rent_price_sf_condo
MRPFDT, med_rent_price_sf_duplex
MRPF5B, med_rent_price_sf_5b
MRPF4B, med_rent_price_sf_4b
MRPF3B, med_rent_price_sf_3b
MRPF2B,med_rent_price_sf_2b
MRPF1B, med_rent_price_sf_1b
MRPFSF, med_rent_price_sf_studio
MRPFMF, med_rent_price_sf_mult_fam
MVALFAH, med_val_sf_all
PLPRAH, pct_list_price_red_all
PLPRCO, pct_list_price_red_condo
PLPRSF, pct_list_price_red_sing_fam
PRRAH, price_rent_ratio_all
USRAH, unsold_renos_all
ZHVIAH, zillow_hvi_all
ZHVITTY, zillow_hvi_top_tier_yoy
ZHVITT, zillow_hvi_top_tier
ZHVIMTY, zillow_hvi_middle_tier_yoy
ZHVIMT, zillow_hvi_middle_tier
ZHVIBTY, zillow_hvi_bottom_tier_yoy
ZHVIBT, zillow_hvi_bottom_tier
ZHVICO, zillow_hvi_condo
ZHVI5B, zillow_hvi_5b
ZHVI4B, zillow_hvi_4b
ZHVI3B, zillow_hvi_3b
ZHVI2B, zillow_hvi_2b
ZHVI1B, zillow_hvi_1b
ZHVISF, zillow_hvi_sing_fam
ZRIAHMF, zillow_ri_all_and_mult_fam
ZRIAH, zillow_ri_all
ZRIMFRR, zillow_ri_mmult_fam
ZRISFRR, zillow_ri_sing_fam
ZRIFAH, zillow_ri_sf_all

